ghg_id,fabric_group,fabric_name,fabric_type,process_step,country,env_impact_group,indicator_unit,fabric_eKPI_intensity,ePL_eKPI_intensity
1060,Animal Fibers,wool,conventional,Animal rearing,New Zealand,GHGs,kg CO2e,123.9150739,9.104943076
1061,Animal Fibers,wool,organic,Animal rearing,New Zealand,GHGs,kg CO2e,120.4143972,8.847722861
1062,Leather,goat,conventional,Animal rearing,New Zealand,GHGs,kg CO2e,79.49785891,5.841286757
1063,Leather,goat,conventional,Abattoir,Niger,GHGs,kg CO2e,0.503514398,0.03699687
1064,Leather,goat,conventional,Animal rearing,Niger,GHGs,kg CO2e,79.49785891,5.841286757
1065,Leather,sheep/goat,conventional,Abattoir,Nigeria,GHGs,kg CO2e,0.589709698,0.043330267
1066,Leather,sheep/goat,conventional,Tanning - RH_WB,Nigeria,GHGs,kg CO2e,1.90282807,0.139814639
1067,Leather,sheep/lamb,conventional,Tanning - RH_WB,Nigeria,GHGs,kg CO2e,0.860990449,0.06326324
1068,Leather,goat,conventional,Animal rearing,Nigeria,GHGs,kg CO2e,79.49785891,5.841286757
1069,Leather,beef/calf,conventional,Tanning - RH_WB,Norway,GHGs,kg CO2e,0.866120644,0.063640193
1070,Plant Fibers,cotton,organic,Ginning,Pakistan,GHGs,kg CO2e,0.636492236,0.046767721
1071,Plant Fibers,cotton,conventional,Crop farming,Pakistan,GHGs,kg CO2e,5.521137668,0.4056782
1072,Plant Fibers,cotton,organic,Crop farming,Pakistan,GHGs,kg CO2e,2.997008564,0.220212049
1073,Synthetic Fibers,elastic,None,Extraction,Pakistan,GHGs,kg CO2e,0.069097484,0.005077095
1074,Leather,beef/calf,conventional,Abattoir,Paraguay,GHGs,kg CO2e,0.513481904,0.037729256
1075,Fur,None,None,Animal rearing,Peru,GHGs,kg CO2e,102.5651635,7.536209647
1076,Synthetic Fibers,nylon,conventional,Processing,Poland,GHGs,kg CO2e,18.07025374,1.327753166
1077,Leather,beef/calf,conventional,Animal rearing,Poland,GHGs,kg CO2e,17.20334007,1.264054704
1078,Plant Fibers,linen,conventional,Crop farming,Poland,GHGs,kg CO2e,1.020640444,0.074993888
1079,Synthetic Fibers,nylon,conventional,Extraction,Poland,GHGs,kg CO2e,0.951478599,0.069912063
1080,Leather,sheep/lamb,conventional,Abattoir,Portugal,GHGs,kg CO2e,0.454717668,0.033411419
1081,Fur,None,None,Abattoir,Portugal,GHGs,kg CO2e,1.82541288,0.134126381
1082,Animal Fibers,mohair,restorative grazing,Spinning Weaving and Dyeing,Portugal,GHGs,kg CO2e,4.477701587,0.329009351
1083,Plant Fibers,linen,organic,Spinning Weaving and Dyeing,Portugal,GHGs,kg CO2e,4.280155473,0.314494199
1084,Synthetic Fibers,acrylic,None,Spinning Weaving and Dyeing,Portugal,GHGs,kg CO2e,4.561488807,0.335165809
